"id";"title";"runtime";"revenue";"adult";"release_date"
4415;"Les Misérables";134;14096321;FALSE;1998-05-01
8656;"Deep Impact";120;140464664;FALSE;1998-05-08
6373;"The Very Thought of You";88;0;FALSE;1998-05-08
547;"The Horse Whisperer";170;186883563;FALSE;1998-05-14
4927;"Edge of Seventeen";99;870751;FALSE;1998-05-14
8129;"My Name Is Joe";105;0;FALSE;1998-05-15
929;"Godzilla";139;379014294;FALSE;1998-05-20
309;"The Celebration";105;0;FALSE;1998-05-20
1878;"Fear and Loathing in Las Vegas";118;10680275;FALSE;1998-05-22
1965;"A Perfect Murder";107;128038368;FALSE;1998-06-05
2166;"The Revengers' Comedies";86;0;FALSE;1998-06-09
846;"The X Files";121;189198313;FALSE;1998-06-19
1389;"Out of Sight";123;77745568;FALSE;1998-06-26
95;"Armageddon";151;553799566;FALSE;1998-07-01
944;"Lethal Weapon 4";127;285444603;FALSE;1998-07-10
473;"Pi";84;3221152;FALSE;1998-07-10
6058;"The Patriot";90;0;FALSE;1998-07-10
544;"There's Something About Mary";119;369884651;FALSE;1998-07-15
1848;"Poodle Springs";92;0;FALSE;1998-07-25
8336;"The Naked Man";98;0;FALSE;1998-08-02
92;"Megacities";94;0;FALSE;1998-08-12
6970;"Welcome to Woop Woop";106;0;FALSE;1998-08-13
104;"Run Lola Run";81;7267585;FALSE;1998-08-20
3682;"54";106;16757163;FALSE;1998-08-28
70846;"Love & Pop";110;0;FALSE;1998-09-01
1414;"Lovers of the Arctic Circle";112;0;FALSE;1998-09-04
4518;"Elizabeth";124;82150642;FALSE;1998-09-13
4338;"I Woke Up Early The Day I Died";90;0;FALSE;1998-09-13
4975;"Love Is the Devil: Study for a Portrait of Francis Bacon";90;0;FALSE;1998-09-16
8056;"Train of Life";103;0;FALSE;1998-09-16
2657;"Pleasantville";124;0;FALSE;1998-09-17
2109;"Rush Hour";98;244386864;FALSE;1998-09-18
8195;"Ronin";122;41610884;FALSE;1998-09-25
8916;"Antz";83;171757863;FALSE;1998-10-02
134368;"One Tough Cop";90;0;FALSE;1998-10-09
407;"Short Sharp Shock";93;0;FALSE;1998-10-15
73;"American History X";119;23875127;FALSE;1998-10-30
2923;"B. Monkey";94;0;FALSE;1998-11-07
27850;"Halloweentown";81;0;FALSE;1998-11-10
56949;"Wind with the Gone";90;0;FALSE;1998-11-12
3600;"I Still Know What You Did Last Summer";100;40002112;FALSE;1998-11-13
2042;"Savior";99;0;FALSE;1998-11-20
103048;"China Gate";179;0;FALSE;1998-11-27
30712;"Free Money";93;0;FALSE;1998-12-03
3513;"Legionnaire";98;0;FALSE;1998-12-03
200;"Star Trek: Insurrection";103;1,18e+08;FALSE;1998-12-10
1934;"Shakespeare in Love";122;289317794;FALSE;1998-12-11
1363;"The Hi-Lo Country";114;0;FALSE;1998-12-30
32139;"Soccer Dog: The Movie";99;0;FALSE;1999-01-01
